QuestionNumber,Question,Answer,Domain,Reference,Updateby Engineer
1,What is IAM? What are some of its features?,"AWS Identity and Access Management (IAM) is a web service that helps you securely control access to AWS resources. You use IAM to control who is authenticated (signed in) and authorized (has permissions) to use resources.

Features:
1. Shared access to your AWS account
2. Granular permissions
3. Secure access to AWS resources for applications that run on Amazon EC2
4. Multi-factor authentication (MFA)
5. Identity federation
6. Identity information for assurance
7. PCI DSS Compliance
8. Integrated with many AWS services
9. Eventually Consistent
10. Free to use
https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html",AWS,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html,Bernard
2,A user is unable to access an s3 bucket. What might be the problem?,,AWS,,
3,What are playbooks in Ansible?,"Playbooks are Ansible’s configuration, deployment, and orchestration language. They can describe a policy you want your remote systems to enforce, or a set of steps in a general IT process. Playbooks are designed to be human-readable and are developed in a basic text language.
At a basic level, playbooks can be used to manage configurations of and deployments to remote machines.",Ansible,https://www.edureka.co/blog/interview-questions/top-devops-interview-questions-2016/,Bernard
4,What are Security Groups?,"A security group acts as a virtual firewall, controlling the traffic that is allowed to reach and leave the resources that it is associated with. For example, after you associate a security group with an EC2 instance, it controls the inbound and outbound traffic for the instance.",AWS,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html,Bernard
5,Explain stateless vs. stateful?,,AWS,,
6,What is EBS?,,,,
7,How to migrate an instance to another availability zone?,,,,
8,What can you attach to an EC2 instance in order to store data?,,AWS,,
9,What is Amazon ECS?,,,,
10,What is AWS Fargate?,,,,
11,Explain what is AWS S3?,,,,
12,What is s3 bucket?,,,,
13,What is a storage class? What storage classes are there in S3?,,,,
14,Explain what is CloudFront?,,,,
15,"What is ""infrastructure as code""? What implementation of IAC are you familiar with?",,,,
16,What benefits infrastructure-as-code has?,,,,
17,What is ELB (Elastic Load Balancing)?,,,,
18,What are the different source for AMIs?,,,,
19,What is the shared responsibility model? What AWS is responsible for and what the user is responsible for based on the shared responsibility model?,,,,
20,What branching strategy do you use? (git),,,,
21,What is AWS Artifact?,,,,
22,What is AWS Inspector?,,,,
23,What is AWS Guarduty?,,,,
24,What is AWS Shield?,,,,
25,What is AWS WAF? Give an example of how it can used and describe what resources or services you can use it with,,,,
26,What is AWS Key Management Service (KMS)?,,,,
27,True or False? A user is not allowed to perform penetration testing on any of the AWS services,,,,
28,What is AWS ACM?,,,,
29,What is AWS RDS?,,,,
30,What is AWS DynamoDB?,,,,
31,What is DynamoDB Accelerator?,,,,
32,What is AWS ElastiCache? For what cases is it used?,,,,
33,Explain Amazon RDS Read Replicas?,,,,
34,What is VPC?,,,,
35,True or False? VPC spans multiple regions?,,,,
36,"True or False? Subnets belong to the same VPC, can be in different availability zones",,,,
37,What is an Internet Gateway?,,,,
38,True or False? NACL allow or deny traffic on the subnet level?,,,,
39,What is VPC peering?,,,,
40,True or False? Multiple Internet Gateways can be attached to one VPC?,,,,
41,What is an Elastic IP address? True or False? Route,,,,
42,Tables used to allow or deny traffic from the,,,,
43,Explain Security Groups and Network ACLs,,,,
44,What is AWS Direct Connect?,,,,
45,Explain agile software development?,,,,
46,AWS Disaster Recovery,,,,
47,"In regards to disaster recovery, what is RTO and RPO?",,,,
48,What types of disaster recovery techniques AWS supports?,,,,
49,AWS - Identify the service or tool,,,,
50,What would you use for automating code/software deployments?,,,,
51,What would you use for easily creating similar AWS  environments/resources for different customers?,,,,
52,"Using which service, can you add user sign-up, sign-in and access control to mobile and web apps?",,,,
53,Which service would you use for building a website or web application?,,,,
54,Which tool would you use for choosing between,,,,
55,Reserved instances or On-Demand instances?,,,,
56,What would you use to check how many unassociated,,,,
57,Elastic IP address you have?,,,,
58,Which service allows you to transfer large amounts,,,,
59,(Petabytes) of data in and out of the AWS cloud?,,,,
60,Which service would you use if you need a data warehouse?,,,,
61,Which service provides a virtual network dedicated to your AWS account?,,,,
62,What you would use for having automated backups for an application that has MySQL database layer?,,,,
63,What would you use to migrate on-premise database to AWS?,,,,
64,What would you use to check why certain EC2 instances were terminated?,,,,
65,What would you use for SQL database?,,,,
66,What would you use for NoSQL database?,,,,
67,What would you use for adding image and video analysis,,,,
68,Which service would you use for debugging and improving performances issues with your applications?,,,,
69,Which service is used for sending notifications?,,,,
70,What would you use for running SQL queries interactively on S3?,,,,
71,What would you use for preparing and combining data for analytics or ML?,,,,
72,Which service would you use for monitoring malicious activity and unauthorized behavior in regards to AWS accounts and workloads?,,,,
73,"Which service would you use for centrally manage billing, control access, compliance, and security across multiple",,,,
74,Which service would you use for web application protection?,,,,
75,You would like to monitor some of your resources in the different services. Which service would you use for that?,,,,
76,Which service would you use for performing security assessment?,,,,
77,Which service would you use for creating DNS record?,,,,
78,What would you use if you need a fully managed document database?,,,,
79,"Which service would you use to add access control (or sign-up, sign-in forms) to your web/mobile apps?",,,,
80,Which service would you use if you need messaging queue?,,,,
81,Which service would you use if you need managed DDOS protection?,,,,
82,Which service would you use if you need store frequently used data for low latency access?,,,,
83,What would you use to transfer files over long distances between a client and an S3 bucket?,,,,
84,Which service would you use for distributing incoming requests across multiple?,,,,
85,Which services are involved in getting a custom string (based on the input) when inserting a URL in the browser?,,,,
86,Which service would you use for data or events streaming?,,,,
87,What is Route 53?,,,,
88,What is AWS Monitoring & Logging,,,,
89,What is AWS CloudWatch?,,,,
90,What is AWS CloudTrail?,,,,
91,What is Simply Notification Service?,,,,
92,"Explain the following in regards to SNS:
• Topics
• Subscribers
• Publishers",,,,
93,What is AWS Organizations?,,,,
94,What are Service Control Policies and to what service they belong?,,,,
95,Explain AWS pricing model,,,,
96,How one should estimate AWS costs when for example comparing to on-premise solutions?,,,,
97,What basic support in AWS includes?,,,,
98,How are EC2 instances billed?,,,,
99,True or False? Region is a factor when it comes to EC2 costs/pricing,,,,
100,"What is ""AWS Infrastructure Event Management""?",,,,
101,What is AWS CodeDeploy?,,,,
102,Explain what is CloudFormation?,,,,
103,Which AWS service you have experience with that you think is not very common?,,,,
104,What is AWS CloudSearch?,,,,
105,What is AWS Lightsail?,,,,
106,What is AWS Rekognition?,,,,
107,What AWS Resource Groups used for?,,,,
108,What is AWS Global Accelerator?,,,,
109,What is AWS Config?,,,,
110,What is AWS X-Ray?,,,,
111,What is AWS OpsWorks?,,,,
112,What is AWS Athena?,,,,
113,What is Amazon Cloud Directory?,,,,
114,What is AWS Elastic Beanstalk?,,,,
115,What is AWS SWF?,,,,
116,What is AWS EMR?,,,,
117,What is AWS Quick Starts?,,,,
118,What is the Trusted Advisor?,,,,
119,What is AWS Service Catalog?,,,,
120,What is AWS CAF?,,,,
121,What is AWS Cloud9?,,,,
122,What is AWS Application Discovery Service?,,,,
123,What is the AWS well-architected framework and what pillars it's based on?,,,,
124,What AWS services are serverless (or have the option to be serverless)?,,,,
125,What is Simple Queue Service (SQS)?,,,,
126,What is TCP/IP?,,,,
127,What is SSL and TLS?,,,,
128,What is NAT?,,,,
129,What is a proxy? How does it works?,,,,
130,What is the difference between HTTPS and HTTP?,,,,
131,What is TCP? How does it works?,,,,
132,How does SSL handshake work?,,,,
133,What is the difference between TCP and UDP?,,,,
134,What TCP/IP protocols are you familiar with? Explain default gateway,,,,
135,What is a Container? What is it used for?,,,,
136,How are containers different from virtual machines (VMs)?,,,,
137,In which scenarios would you use containers and in which you would prefer to use VMs?,,,,
138,How container achieve isolation from the rest of the system?,,,,
139,Describe in detail what happens when you run `docker pull image?,,,,
140,How do you run a container?,,,,
141,How would you transfer data from one container into another?,,,,
142,What happens to data of the container when a container exists?,,,,
143,"Explain what each of the following commands do:
• docker run
• docker rm
• docker ps
• docker pull
• docker build
• docker commit",,,,
144,"How do you remove old, non running, containers?",,,,
145,What is Dockerfile,,,,
146,What is the difference between ADD and COPY in Dockerfile?,,,,
147,What is the difference between CMD and RUN in Dockerfile?,,,,
148,Explain what is Docker compose and what is it used for?,,,,
149,What is Docker Hub?,,,,
150,What is the difference between Docker Hub and Docker cloud?,,,,
151,What is Docker Repository?,,,,
152,Explain image layers?,,,,
153,What best practices are you familiar related to working with containers?,,,,
154,How do you manage persistent storage in Docker?,,,,
155,"How can you connect from the inside of your container to the localhost of your host, where the container runs?",,,,
156,How do you copy files from Docker container to the host and vice versa?,,,,
157,How do you know if a certain directory is a git repository?,,,,
158,"How to check if a file is tracked and if not, then track it?",,,,
159,What is the difference between git pull and git fetch?,,,,
160,"Explain the following: git directory, working directory and staging area",,,,
161,How to resolve git merge conflicts?,,,,
162,What is the difference between git reset and git revert?,,,,
163,You would like to move forth commit to the top. How would you achieve that?,,,,
164,In what situations are you using git rebase?,,,,
165,What merge strategies are you familiar with?,,,,
166,How can you see which changes have done before committing them?,,,,
167,How do you revert a specific file to previous commit?,,,,
168,How to squash last two commits?,,,,
169,What is the .git directory?,,,,
170,What is git rebasing?,,,,
171,What is Jenkins? What have you used it for?,,,,
172,What plugins have you used in Jenkins?,,,,
173,Have you used Jenkins for CI or CD processes? Can you describe them?,,,,
174,What type of jobs are there? Which types have you used?,,,,
175,How did you report build results to users? What ways are there to report the results?,,,,
176,What is the different between a scripted pipeline to declarative pipeline?,,,,
177,"Have you written Jenkins scripts? If yes, what for and how they work?",,,,
178,What is Cloud Computing? What is a Cloud Provider?,,,,
179,What are the advantages of cloud computing?,,,,
180,"Explain each of the following and give an example:
• IAAS
• PAAS
• SAAS",,,,
181,What is Continuous Integration?,"Continuous Integration (CI) is a development practice where developers integrate code into a shared repository frequently, preferably several times a day.",CI/CD,https://www.cloudbees.com/continuous-delivery/continuous-integration,
182,What is Continuous Deployment?,,,,
183,What is Continuous Delivery?,,,,
184,Where do you store CI/CD pipelines? Why?,,,,
185,What is Version Control?,"Version control, also known as source control, is the process of tracking and managing changes to files over time",Version Control,https://www.perforce.com/blog/vcs/what-is-version-control,
186,What is a commit?,"git commit creates a commit, which is like a snapshot of your repository. These commits are snapshots of your entire repository at specific times.",Version Control,https://github.com/git-guides/git-commit,
187,What is a merge?, merging takes the contents of a source branch and integrates them with a target branch.,Version Control,https://www.freecodecamp.org/news/an-introduction-to-git-merge-and-rebase-what-they-are-and-how-to-use-them-131b863785f/,
188,What is a merge conflict?,A merge conflict is an event that takes place when Git is unable to automatically resolve differences in code between two commits. Git can merge the changes automatically only if the commits are on different lines or branches.,Version Control,"https://www.simplilearn.com/tutorials/git-tutorial/merge-conflicts-in-git#:~:text=A%20merge%20conflict%20is%20an,on%20different%20lines%20or%20branches.",
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,Jenkins,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,